,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
285,exit_group,wait4,rt_sigaction,rt_sigaction,rt_sigprocmask,,,,,,,,,,
286,nanosleep,nanosleep,nanosleep,futex,futex,,,,,,,,,,
287,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,,,,,,
288,fstat,fstat,read,lseek,read,close,,,,,,,,,
289,faccessat,faccessat,faccessat,faccessat,faccessat,faccessat,,,,,,,,,
290,faccessat,faccessat,faccessat,faccessat,faccessat,uname,,,,,,,,,
291,read,close,openat,fstat,fcntl,fcntl,,,,,,,,,
292,read,close,sched_getaffinity,sched_getaffinity,sched_setaffinity,sched_setaffinity,,,,,,,,,
293,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,,,,,
294,mprotect,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,,,,,
295,mmap2,mprotect,mmap2,mmap2,close,munmap,,,,,,,,,
296,stat,openat,stat,openat,stat,writev,,,,,,,,,
297,openat,mmap2,read,munmap,close,openat,,,,,,,,,
298,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,,,,,
299,uname,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,,,,,
300,stat,stat,stat,pipe,clone,close,,,,,,,,,
301,openat,fcntl,dup2,close,execve,rt_sigaction,,,,,,,,,
302,openat,stat,openat,stat,openat,openat,,,,,,,,,
303,mprotect,mmap2,mmap2,close,mmap2,mmap2,,,,,,,,,
304,mprotect,mprotect,mprotect,mprotect,mprotect,getuid,,,,,,,,,
305,mprotect,openat,lseek,fstat,read,close,,,,,,,,,
306,exit_group,read,close,wait4,rt_sigreturn,wait4,,,,,,,,,
307,clone,close,close,stat,stat,stat,,,,,,,,,
308,mmap2,mmap2,close,mmap2,arch_prctl,mmap2,,,,,,,,,
309,openat,fcntl,dup2,close,execve,brk,,,,,,,,,
310,mprotect,mmap2,mmap2,close,openat,openat,,,,,,,,,
311,mprotect,clone,prlimit64,mmap2,mprotect,clone,,,,,,,,,
312,bind,sendto,sendto,poll,recvfrom,recvfrom,,,,,,,,,
313,recvfrom,recvfrom,poll,recvfrom,close,write,,,,,,,,,
314,clock_gettime,nanosleep,nanosleep,epoll_wait,clock_gettime,clock_gettime,,,,,,,,,
315,nanosleep,epoll_wait,clock_gettime,clock_gettime,nanosleep,nanosleep,,,,,,,,,
316,mmap2,mmap2,mprotect,mmap2,close,openat,,,,,,,,,
317,fstat,read,read,close,openat,fstat,,,,,,,,,
318,lseek,lseek,lseek,write,lseek,write,,,,,,,,,
319,epoll_wait,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,,,,,,,,,
320,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,nanosleep,,,,,,,,,
321,openat,fstat,getdents,getdents,close,openat,,,,,,,,,
322,futex,nanosleep,nanosleep,nanosleep,nanosleep,nanosleep,,,,,,,,,
323,nanosleep,nanosleep,epoll_wait,clock_gettime,clock_gettime,nanosleep,,,,,,,,,
324,write,fdatasync,close,rename,openat,fstat,,,,,,,,,
325,mmap2,mprotect,rt_sigprocmask,clone,rt_sigprocmask,prlimit64,,,,,,,,,
326,stat,stat,pipe,clone,close,close,,,,,,,,,
327,nanosleep,nanosleep,nanosleep,nanosleep,nanosleep,nanosleep,,,,,,,,,
328,nanosleep,nanosleep,nanosleep,nanosleep,futex,futex,,,,,,,,,
329,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,,,,,
330,openat,fstat,fstat,read,lseek,read,close,,,,,,,,
