,0,1,2,3,4,5,6,7,8,9,10
10100,close,munmap,close,20,,,,,,,
10101,close,openat,fcntl,close,openat,20,,,,,
10102,close,openat,fcntl,openat,20,,,,,,
10103,close,openat,fstat,getdents,getdents,close,20,,,,
10104,close,openat,fstat,read,close,openat,20,,,,
10105,close,openat,fstat,read,openat,20,,,,,
10106,close,openat,getdents,getdents,close,20,,,,,
10107,close,openat,openat,close,openat,openat,20,,,,
10108,close,openat,openat,openat,close,20,,,,,
10109,close,openat,openat,openat,openat,stat,20,,,,
10110,close,openat,openat,read,read,20,,,,,
10111,close,openat,openat,read,read,close,20,,,,
10112,close,openat,read,read,read,close,20,,,,
10113,close,pipe2,20,,,,,,,,
10114,close,poll,20,,,,,,,,
10115,close,read,brk,20,,,,,,,
10116,close,read,read,read,close,20,,,,,
10117,close,rt_sigaction,20,,,,,,,,
10118,close,rt_sigprocmask,20,,,,,,,,
10119,close,stat,openat,stat,stat,20,,,,,
10120,epoll_create1,eventfd2,read,rt_sigaction,write,20,,,,,
10121,epoll_create1,eventfd2,read,write,20,,,,,,
10122,epoll_create1,eventfd2,rt_sigaction,write,20,,,,,,
10123,epoll_create1,eventfd2,rt_sigprocmask,read,rt_sigaction,write,20,,,,
10124,epoll_create1,eventfd2,rt_sigprocmask,read,write,20,,,,,
10125,epoll_create1,eventfd2,rt_sigprocmask,rt_sigaction,write,20,,,,,
10126,epoll_create1,eventfd2,rt_sigprocmask,write,20,,,,,,
10127,epoll_create1,eventfd2,write,20,,,,,,,
10128,epoll_create1,pipe2,eventfd2,read,rt_sigaction,write,20,,,,
10129,epoll_create1,pipe2,eventfd2,read,write,20,,,,,
10130,epoll_create1,pipe2,eventfd2,rt_sigaction,write,20,,,,,
10131,epoll_create1,pipe2,eventfd2,rt_sigprocmask,read,rt_sigaction,write,20,,,
10132,epoll_create1,pipe2,eventfd2,rt_sigprocmask,read,write,20,,,,
10133,epoll_create1,pipe2,eventfd2,rt_sigprocmask,rt_sigaction,write,20,,,,
10134,epoll_create1,pipe2,eventfd2,rt_sigprocmask,write,20,,,,,
10135,epoll_create1,pipe2,eventfd2,write,20,,,,,,
10136,epoll_create1,pipe2,read,rt_sigaction,write,20,,,,,
10137,epoll_create1,pipe2,read,write,20,,,,,,
10138,epoll_create1,pipe2,rt_sigaction,write,20,,,,,,
10139,epoll_create1,pipe2,rt_sigprocmask,read,rt_sigaction,write,20,,,,
10140,epoll_create1,pipe2,rt_sigprocmask,read,write,20,,,,,
10141,epoll_create1,pipe2,rt_sigprocmask,rt_sigaction,write,20,,,,,
10142,epoll_create1,pipe2,rt_sigprocmask,write,20,,,,,,
10143,epoll_create1,pipe2,write,20,,,,,,,
10144,epoll_create1,read,rt_sigaction,write,20,,,,,,
10145,epoll_create1,read,write,20,,,,,,,
10146,epoll_create1,rt_sigaction,write,20,,,,,,,
10147,epoll_create1,rt_sigprocmask,read,rt_sigaction,write,20,,,,,
10148,epoll_create1,rt_sigprocmask,read,write,20,,,,,,
10149,epoll_create1,rt_sigprocmask,rt_sigaction,write,20,,,,,,
10150,epoll_create1,rt_sigprocmask,write,20,,,,,,,
10151,epoll_create1,write,20,,,,,,,,
