,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
289,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,
290,openat,fcntl,dup2,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,
291,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,
292,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,
293,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,
294,stat,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,
295,brk,access,openat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat
296,access,openat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat
297,openat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat
298,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat
299,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,read
300,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat
301,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2
302,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2
303,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect
304,openat,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2
305,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2
306,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close
307,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat
308,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read
309,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat
310,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2
311,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect
312,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2
313,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close
314,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat
315,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read
316,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat
317,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2
318,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect
319,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2
320,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close
321,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat
322,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read
323,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat
324,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2
325,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect
326,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2
327,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close
328,read,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2
329,close,openat,read,close,openat,read,close,openat,openat,read,close,openat,read,close,openat
330,openat,openat,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat
331,openat,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat,read
332,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat,read,close
333,read,close,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat
334,close,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat,read
335,close,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat,openat
336,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat,openat,openat
337,read,close,openat,read,close,openat,read,close,openat,read,close,openat,openat,openat,openat
338,close,openat,read,close,openat,read,close,openat,read,close,openat,openat,openat,openat,openat
339,openat,read,close,openat,read,close,openat,read,close,openat,openat,openat,openat,openat,openat
340,read,close,openat,read,close,openat,read,close,openat,openat,openat,openat,openat,openat,openat
341,fcntl,close,openat,read,close,openat,read,close,openat,read,close,openat,openat,openat,openat
342,close,openat,read,close,openat,read,close,openat,openat,openat,openat,openat,openat,openat,read
343,openat,read,close,openat,read,close,openat,openat,openat,openat,openat,openat,openat,read,close
344,read,close,openat,read,close,openat,openat,openat,openat,openat,openat,openat,read,close,openat
345,close,openat,read,close,openat,openat,openat,openat,openat,openat,openat,read,close,openat,read
346,openat,read,close,openat,openat,openat,openat,openat,openat,openat,read,close,openat,read,close
347,read,close,openat,openat,openat,openat,openat,openat,openat,read,close,openat,read,close,openat
348,close,openat,openat,openat,openat,openat,openat,openat,read,close,openat,read,close,openat,read
349,openat,openat,openat,openat,openat,openat,openat,read,close,openat,read,close,openat,read,close
350,openat,openat,openat,openat,openat,openat,read,close,openat,read,close,openat,read,close,openat
351,openat,openat,openat,openat,openat,read,close,openat,read,close,openat,read,close,openat,read
352,openat,openat,openat,openat,read,close,openat,read,close,openat,read,close,openat,read,close
353,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk
354,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid
355,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid
356,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid
357,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid
358,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open
359,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk
360,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk
361,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk
362,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk
363,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk
364,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk,brk
365,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk,brk,brk
366,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk,brk,brk,brk
367,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk,brk,brk,brk,brk
368,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk
369,geteuid,getgid,getegid,open,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk
370,getgid,getegid,open,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk
371,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat
372,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev
373,getegid,open,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk
374,open,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,open
375,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,open,open
376,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,open,open,brk
377,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,open,open,brk,brk
