,name
364,exit_group
365,wait4
366,rt_sigaction
367,rt_sigaction
368,rt_sigprocmask
369,rt_sigaction
370,rt_sigaction
371,rt_sigprocmask
372,pipe2
373,rt_sigprocmask
374,clone
375,close
376,read
377,close
378,rt_sigprocmask
379,execve
380,brk
381,access
382,openat
383,openat
384,stat
385,openat
386,stat
387,openat
388,stat
389,openat
390,stat
391,openat
392,stat
393,openat
394,stat
395,openat
396,stat
397,openat
398,read
399,fstat
400,mmap2
401,mmap2
402,mprotect
403,mmap2
404,mmap2
405,close
406,openat
407,read
408,fstat
409,mmap2
410,mprotect
411,mmap2
412,mmap2
413,close
414,mmap2
415,arch_prctl
416,mprotect
417,mprotect
418,mprotect
419,mprotect
420,getuid
421,brk
422,brk
423,getpid
424,rt_sigaction
425,rt_sigaction
426,getppid
427,uname
428,stat
429,stat
430,rt_sigaction
431,rt_sigaction
432,rt_sigaction
433,execve
434,write
435,write
436,write
437,exit_group
438,wait4
439,rt_sigaction
440,rt_sigaction
441,rt_sigprocmask
442,rt_sigaction
443,rt_sigaction
444,rt_sigprocmask
445,pipe2
446,rt_sigprocmask
447,clone
448,close
449,read
450,close
451,rt_sigprocmask
452,execve
453,brk
454,access
455,openat
456,openat
457,stat
458,openat
459,stat
460,openat
461,stat
462,openat
463,stat
464,openat
465,stat
466,openat
467,stat
468,openat
469,stat
470,openat
471,read
472,fstat
473,mmap2
474,mmap2
475,mprotect
476,mmap2
477,mmap2
478,close
479,openat
480,read
481,fstat
482,mmap2
483,mprotect
484,mmap2
485,mmap2
486,close
487,mmap2
488,arch_prctl
489,mprotect
490,mprotect
491,mprotect
492,mprotect
493,getuid
494,brk
495,brk
496,getpid
497,rt_sigaction
498,rt_sigaction
499,getppid
500,uname
501,stat
502,stat
503,rt_sigaction
504,rt_sigaction
505,rt_sigaction
506,execve
507,write
508,write
509,write
510,exit_group
511,wait4
512,rt_sigaction
513,rt_sigaction
514,rt_sigprocmask
515,rt_sigaction
516,rt_sigaction
517,rt_sigprocmask
518,pipe2
519,rt_sigprocmask
520,clone
521,close
522,read
523,close
524,rt_sigprocmask
525,execve
526,brk
527,access
528,openat
529,openat
530,stat
531,openat
532,stat
533,openat
534,stat
535,openat
536,stat
537,openat
538,stat
539,openat
540,stat
541,openat
542,stat
543,openat
544,read
545,fstat
546,mmap2
547,mmap2
548,mprotect
549,mmap2
550,mmap2
551,close
552,openat
553,read
554,fstat
555,mmap2
556,mprotect
557,mmap2
558,mmap2
559,close
560,mmap2
561,arch_prctl
562,mprotect
563,mprotect
564,mprotect
565,mprotect
566,getuid
567,brk
568,brk
569,getpid
570,rt_sigaction
571,rt_sigaction
572,getppid
573,uname
574,stat
575,stat
576,rt_sigaction
577,rt_sigaction
578,rt_sigaction
579,execve
580,write
581,write
582,write
583,exit_group
584,wait4
585,rt_sigaction
586,rt_sigaction
587,rt_sigprocmask
588,rt_sigaction
589,rt_sigaction
590,rt_sigprocmask
591,pipe2
592,rt_sigprocmask
593,clone
594,close
595,read
596,close
597,rt_sigprocmask
598,execve
599,brk
600,access
601,openat
602,openat
603,stat
604,openat
605,stat
606,openat
607,stat
608,openat
609,stat
610,openat
611,stat
612,openat
613,stat
614,openat
615,stat
616,openat
617,read
618,fstat
619,mmap2
620,mmap2
621,mprotect
622,mmap2
623,mmap2
624,close
625,openat
626,read
627,fstat
628,mmap2
629,mprotect
630,mmap2
631,mmap2
632,close
633,mmap2
634,arch_prctl
635,mprotect
636,mprotect
637,mprotect
638,mprotect
639,getuid
640,brk
641,brk
642,getpid
643,rt_sigaction
644,rt_sigaction
645,getppid
646,uname
647,stat
648,stat
649,rt_sigaction
650,rt_sigaction
651,rt_sigaction
652,execve
653,write
654,write
655,write
656,exit_group
657,wait4
658,rt_sigaction
659,rt_sigaction
660,rt_sigprocmask
661,rt_sigaction
662,rt_sigaction
663,rt_sigprocmask
664,pipe2
665,rt_sigprocmask
666,clone
667,close
668,read
669,close
670,rt_sigprocmask
671,execve
672,brk
673,access
674,openat
675,openat
676,stat
677,openat
678,stat
679,openat
680,stat
681,openat
682,stat
683,openat
684,stat
685,openat
686,stat
687,openat
688,stat
689,openat
690,read
691,fstat
692,mmap2
693,mmap2
694,mprotect
695,mmap2
696,mmap2
697,close
698,openat
699,read
700,fstat
701,mmap2
702,mprotect
703,mmap2
704,mmap2
705,close
706,mmap2
707,arch_prctl
708,mprotect
709,mprotect
710,mprotect
711,mprotect
712,getuid
713,brk
714,brk
715,getpid
716,rt_sigaction
717,rt_sigaction
718,getppid
719,uname
720,stat
721,stat
722,rt_sigaction
723,rt_sigaction
724,rt_sigaction
725,execve
726,write
727,write
728,write
729,exit_group
730,wait4
731,rt_sigaction
732,rt_sigaction
733,rt_sigprocmask
734,rt_sigaction
735,rt_sigaction
736,rt_sigprocmask
737,pipe2
738,rt_sigprocmask
739,clone
740,close
741,read
742,close
743,rt_sigprocmask
744,execve
745,brk
746,access
747,openat
748,openat
749,stat
750,openat
751,stat
752,openat
753,stat
754,openat
755,stat
756,openat
757,stat
758,openat
759,stat
760,openat
761,stat
762,openat
763,read
764,fstat
765,mmap2
766,mmap2
767,mprotect
768,mmap2
769,mmap2
770,close
771,openat
772,read
773,fstat
774,mmap2
775,mprotect
776,mmap2
777,mmap2
778,close
779,mmap2
780,arch_prctl
781,mprotect
782,mprotect
783,mprotect
784,mprotect
785,getuid
786,brk
787,brk
788,getpid
789,rt_sigaction
790,rt_sigaction
791,getppid
792,uname
793,stat
794,stat
795,rt_sigaction
796,rt_sigaction
797,rt_sigaction
798,execve
799,write
800,write
801,write
802,exit_group
803,wait4
804,rt_sigaction
805,rt_sigaction
806,rt_sigprocmask
807,rt_sigaction
808,rt_sigaction
809,rt_sigprocmask
810,pipe2
811,rt_sigprocmask
812,clone
813,close
814,read
815,close
816,rt_sigprocmask
817,execve
818,brk
819,access
820,openat
821,openat
822,stat
823,openat
824,stat
825,openat
826,stat
827,openat
828,stat
829,openat
830,stat
831,openat
832,stat
833,openat
834,stat
835,openat
836,read
837,fstat
838,mmap2
839,mmap2
840,mprotect
841,mmap2
842,mmap2
843,close
844,openat
845,read
846,fstat
847,mmap2
848,mprotect
849,mmap2
850,mmap2
851,close
852,mmap2
853,arch_prctl
854,mprotect
855,mprotect
856,mprotect
857,mprotect
858,getuid
859,brk
860,brk
861,getpid
862,rt_sigaction
863,rt_sigaction
864,getppid
865,uname
866,stat
867,stat
868,rt_sigaction
869,rt_sigaction
870,rt_sigaction
871,execve
872,write
873,write
874,write
875,exit_group
876,wait4
877,rt_sigaction
878,rt_sigaction
879,rt_sigprocmask
880,rt_sigaction
881,rt_sigaction
882,rt_sigprocmask
883,pipe2
